"","categoria","categoria_nome"
"1",1,"Macroeconomia"
"2",2,"Direitos Civis"
"3",3,"Saúde"
"4",4,"Agricultura"
"5",5,"Trabalho"
"6",6,"Educação"
"7",7,"Meio Ambiente"
"8",8,"Energia"
"9",9,"Imigração"
"10",10,"Transportes"
"11",12,"Lei e Crime"
"12",13,"Questões Sociais"
"13",14,"Moradia"
"14",15,"Comércio Interno"
"15",16,"Defesa"
"16",17,"Tecnologia"
"17",18,"Comércio Exterior"
"18",19,"Relações Internacionais"
"19",20,"Operações Governamentais"
"20",21,"Terras Públicas"
"21",23,"Cultura"
"22",24,"Outro"
