"","Lampreia","Lafer","LULA","Amorim","Patriota","Figueiredo","Vieira","Temer","Serra","Nunes","categoria_nome","FHC","DILMA"
"1",5.4,2,12.8,10.8,4.9,0,2,0,10.8,12.6,"Relações
 Bilaterais",23.7,18.8
"2",4.5,9.9,17.9,14.7,9.8,0,0,0,2,7.8,"Integração
 Regional",5.3,9.4
"3",5.4,3,15.4,9.8,4.9,4.8,2,0,2.9,5.8,"Mecanismos
 Inter-regionais",5.3,9.4
"4",13.5,23.8,23.1,14.7,7.3,4.8,3,27.3,20.6,10.7,"Diplomacia
 Econômica",18.4,31.2
"5",0.9,1,0,0,8.5,0,3,0,4.9,3.9,"Cooperação",0,0
"6",6.3,3,2.6,3.9,1.2,0,2,0,1,4.9,"Direitos Humanos 
Temas Sociais",2.6,3.1
"7",0.9,1,0,1,0,19,0,0,2,1.9,"Desenvolvimento
 Sustentável 
e Meio Ambiente",0,12.5
"8",0,0,0,0,0,0,0,0,0,0,"Energia",0,0
"9",0.9,0,0,0,1.2,0,0,0,0,1,"Ciência e
 Tecnologia",0,0
"10",0,2,0,0,1.2,0,0,27.3,0,0,"Diplomacia
 Cultural",2.6,6.2
"11",0.9,2,10.3,8.8,2.4,0,0,18.2,1,2.9,"Paz e 
Segurança
 Internacionais",5.3,3.1
"12",0.9,1,0,1,3.7,0,4,0,2,1,"Brasileiros
 no Exterior",0,0
"13",0,0,0,0,0,0,0,0,2.9,0,"Atos
 Internacionais",0,0
"14",60.4,51.5,17.9,35.3,54.9,71.4,83.8,27.3,50,47.6,"Outros",36.8,6.2
