"","categoria","FHC","Lampreia","Lafer","Lula","Amorim","Dilma","Patriota","Figueiredo","Temer","Serra","Nunes","Vieira"
"1","Agradecimentos",0,6.3,7.6,0,7.4,0,0,18.8,0,5.5,7.8,7.2
"2","América
do Sul",0,0,3,0,4.8,0,4.3,0,0,0,0,2
"3","Transmissão
 do Cargo",0,17.7,0,0,0,0,0,16.7,0,0,0,5.6
"4","Diretrizes
 Presidenciais",0,22.8,0,0,0,21.6,12.8,27.6,0,0,0,26.7
"5","Identidade
Internacional
 Brasileira",0,0,29.5,0,0,0,0,0,0,0,0,10.6
"6","Interméstico",0,0,0,0,11.9,0,0,0,0,0,7.8,2.7
"7","Inserção
 Internacional",21.1,0,14.8,0,14.9,58.3,0,0,0,0,0,9.6
"8","PEB como
Política Pública",14.2,17.9,37.6,0,18.8,0,12.6,16.7,0,0,13.7,1.1
"9","Prestígio
no Exterior",64.7,0,0,100,0,0,9.6,0,34.2,0,0,0
"10","Renovação e
Tradição
 no Itamaraty",0,7.1,0,0,11.7,20.1,19.3,20.3,65.8,55.3,43,34.5
"11","Servidores e
Funcionários
 do Itamaraty",0,10,0,0,21.2,0,15.4,0,0,33.9,20.3,0
"12","Sobre Emissor e
a Audiência",0,18.2,7.4,0,9.3,0,25.9,0,0,5.3,7.4,0
